Entity,Code,Year,Under 5,5-14 years,15-49 years,50-69 years,70+ years
Saudi Arabia,SAU,1990,676,101,477,627,930
Saudi Arabia,SAU,1991,652,105,498,664,961
Saudi Arabia,SAU,1992,628,106,512,698,985
Saudi Arabia,SAU,1993,604,106,524,736,1006
Saudi Arabia,SAU,1994,570,106,540,777,1029
Saudi Arabia,SAU,1995,545,107,557,814,1056
Saudi Arabia,SAU,1996,490,105,572,850,1086
Saudi Arabia,SAU,1997,444,102,583,879,1113
Saudi Arabia,SAU,1998,404,99,594,906,1137
Saudi Arabia,SAU,1999,371,96,612,935,1158
Saudi Arabia,SAU,2000,335,93,628,964,1173
Saudi Arabia,SAU,2001,301,88,648,980,1161
Saudi Arabia,SAU,2002,271,85,679,1015,1148
Saudi Arabia,SAU,2003,247,81,716,1058,1137
Saudi Arabia,SAU,2004,224,76,748,1097,1135
Saudi Arabia,SAU,2005,202,72,831,1164,1138
Saudi Arabia,SAU,2006,182,69,908,1227,1174
Saudi Arabia,SAU,2007,164,66,994,1308,1223
Saudi Arabia,SAU,2008,149,63,1081,1390,1265
Saudi Arabia,SAU,2009,132,59,1138,1437,1270
Saudi Arabia,SAU,2010,119,56,1202,1498,1276
Saudi Arabia,SAU,2011,105,51,1231,1518,1273
Saudi Arabia,SAU,2012,94,47,1255,1528,1268
Saudi Arabia,SAU,2013,83,44,1298,1548,1275
Saudi Arabia,SAU,2014,73,41,1338,1572,1285
Saudi Arabia,SAU,2015,65,38,1371,1586,1282
Saudi Arabia,SAU,2016,58,36,1414,1616,1298
Saudi Arabia,SAU,2017,50,34,1460,1647,1311
Saudi Arabia,SAU,2018,44,32,1501,1683,1332
Saudi Arabia,SAU,2019,39,30,1540,1726,1364
